Year,Project Name,Client,Role,Description,URL,screenshot,blogpost
2022,Opening The Gateway,The Margin,Dataviz,I created an interactive scrollytelling map that showed the geography of the Skagit River from the sea to the dams the story centered on.,https://themargin.us/features/opening-the-gateway,https://res.cloudinary.com/ejf/image/upload/v1666964891/Screenshot_2022-10-28_at_9.48.06_AM.png,
2022,We Glow In The Dark,The Margin,Dataviz,I created an interactive map that overlaid historic redlining maps with the locations of the story's subjects and the toxic Defense Depot.,https://themargin.us/features/we-glow-in-the-dark,https://res.cloudinary.com/ejf/image/upload/v1666630398/project-images/margin_memphis.png,
2022,Querdenken Everything,LongLead,Dataviz,I helped gather and visualize data to tell the story of extremists gathering in Telegram chats.,https://longlead.com/article/querdenken-everything,https://res.cloudinary.com/ejf/image/upload/v1666630397/project-images/ll_querdenken.png,
2021,The Depths She'll Reach,LongLead,Developer,I worked with LongLead as an interactive producer and supporting developer to bring this award-winning story to life.,https://onjustonebreath.com,https://res.cloudinary.com/ejf/image/upload/v1666630397/project-images/ll_diver.png,
2021,Mapping The Clusters of NYPD Officers Repeatedly Accused of Misconduct,Gothamist,Data journalist and designer,I worked with reporter George Joseph to visualize the network and clusters of NYPD officers accused of misconduct using previously unreleased CCRB data. ,https://gothamist.com/news/mapping-clusters-nypd-officers-repeatedly-accused-misconduct,https://res.cloudinary.com/ejf/image/upload/v1624505769/Screen_Shot_2021-06-21_at_8.58.50_PM.jpg,https://ejfox.com/blog/nypd-ccrb-complaint-clusters/
2020,COVIDcast,Carnegie Mellon University,"Designer, developer",I contributed to the team that built early prototypes of Carnegie Melon's COVIDCast tool which was used to visualize early indicators of the disease in the beginning of the pandemic.,https://covidcast.cmu.edu/,https://res.cloudinary.com/ejf/image/upload/v1666630395/project-images/cmu_covidcast.png,
2020,David Byler’s Interactive Election Simulator,Washington Post,Lead Developer,I worked with David Byler and the Washington Post Engineering Team to create an interactive simulation that let a user tweak predictions for the 2020 presidential election.,https://www.washingtonpost.com/pr/2020/01/09/washington-post-opinions-launches-interactive-election-simulator/,,
2019,"Andrew Yang's campaign and supporters struggle to push away extremists, leaked chats show",NBC News,Research,I worked with NBC News reporter Ben Collins to analyze leaked data from Andrew Yang's Discord chat that showed anti-semitic and racist messages in the group.,https://www.nbcnews.com/tech/tech-news/andrew-yang-s-campaign-supporters-struggle-push-away-extremist-support-n993241,,
2018,2018 Midterm Election Big Board,NBC News & MSNBC,Lead Developer,"I spearheaded an internal effort to develop new D3-powered mapping software used for visualizing election maps and results live, through a touchscreen app wielded by Steve Kornacki known as the ""Big Board"".",https://www.newscaststudio.com/2018/11/05/nbc-big-board-update/,,
2018,Russian trolls went on attack during key election moments,NBC News,Graphics Editor,I worked with NBC News Reporter Ben Popken to analyze and visualize over 200k tweets sent by known Russian trolls during the 2016 election.,https://www.nbcnews.com/tech/social-media/russian-trolls-went-attack-during-key-election-moments-n827176,,
2018,Does America Need Another Prison?,NBC News Special,Designer,,https://www.nbcnews.com/specials/kentucky-prison-coal-country,,
2017,Post Bail,NBC News Special,Designer,,https://www.nbcnews.com/specials/bail-reform,,
2017,Making of an Astronaut,NBC News Special,Designer,,https://www.nbcnews.com/specials/making-of-an-astronaut,,
2017,Journey of a Bullet,NBC News Special,Designer,,https://www.nbcnews.com/specials/journey-of-a-bullet,,
2017,Trump’s First 100 Days,NBC News Special,"Graphics editor, designer",,https://www.nbcnews.com/specials/donald-trump-first-100-days,,
2016,How Trump Won,NBC News Special,"Graphics editor, designer",,https://www.nbcnews.com/specials/donald-trump-republican-party/presidency,,
2016,2016 Election County-Level Election Maps,NBC News & MSNBC,"Designer, developer",,https://www.youtube.com/watch?v=p4KIMQsVkt8,,
2016,Kanye Fashion Universe,Vocativ,"Creator, designer",,http://www.vocativ.com/282689/the-road-to-yeezy-mapping-kanyes-fashion-universe/,,
2016,Spotifinder,Vocativ,"Project manager, creator",,http://www.vocativ.com/297798/tailor-your-sxsw-music-schedule-with-vocativs-spotifinder-app/,,
2016,Blame-Obama-Tron,Vocativ,"Creator, designer, developer",,http://www.vocativ.com/274351/everything-everywhere-is-obamas-fault/,,
2015,Newsroom Dataviz Styleguide,Vocativ,"Designer, creator",,http://vocativ.graphics,,
2014,Presidential Readability,Vocativ,"Creator, designer, developer",,http://www.theatlantic.com/politics/archive/2014/10/have-presidential-speeches-gotten-less-sophisticated-over-time/381410/,,
2013,GitHub Octoverse 2013,GitHub,"Designer, Developer",,https://github.com/blog/1773-state-of-the-octoverse-2013-edition,,
2012,Dark Money Universe,Mother Jones,Developer,,http://www.motherjones.com/politics/2012/06/interactive-chart-super-pac-election-money,,
2016,"Jordanian Beauty Queen Leaves Anonymous, Goes Legit To Hack ISIS",Vocativ,Writer,,http://www.vocativ.com/247400/anonymous-affiliate-grows-up-to-fight-isis/,,
2015,4Chan Users Trolled Minneapolis Protest For Days Before Shooting,Vocativ,"Creator, writer",,http://www.vocativ.com/254449/4chan-users-had-trolled-minneapolis-protest-for-days-before-shooting/,,
2015,Wall Street Bonuses Could Pay Off These States’ Student Loans,Vocativ,Designer,,http://www.vocativ.com/money/the1/wall-street-student-loans/,,
2015,Network Intel: Darren Wilson Supporters,Vocativ,Designer,,http://www.vocativ.com/datas/data-data/darren-wilson-supporters/,,
2015,The Birds (And Deer) Behind Thousands Of Airplane Emergencies,Vocativ,"Creator, designer",,http://www.vocativ.com/culture/science/bird-strikes-airplane-faa-database/,,
2015,Mystery Cop Pulls Gun on Crowd of Anti-Police-Brutality Protesters,Vocativ,"Creator, writer",,http://www.vocativ.com/usa/race/cop-pulls-gun-on-protestors-oakland/,,
2015,Which Days Of The Week Have Inspired The Most Hit Songs?,Vocativ,Designer,,http://www.vocativ.com/culture/music/days-of-the-week-songs/,,
2012,Map of the Dark-Money Universe,Mother Jones,"Designer, developer",,https://www.motherjones.com/politics/2012/06/interactive-chart-super-pac-election-money/,,
2012,Tributary.io,Open Source,Designer,,http://tributary.io,,
2012,Stop SOPA,Freelance,"Creator, designer",,http://visual.ly/stop-sopa,,
2011,Solvate SXSW Booth,Solvate,"Creator, designer",,https://www.facebook.com/Solvate/photos/a.187226797987825.41460.106446489399190/187227051321133/?type=3&theater,,
2011,Land Mass by Country,Freelance,"Creator, designer",,http://visual.ly/landmass-country,,
2011,Internet Speeds Around the World,Freelance,"Creator, designer",,http://visual.ly/internet-speeds-and-costs-around-world,,
2011,Teacher's Worth Around the World,Freelance,"Creator, designer",,http://visual.ly/teachers-worth-around-world,,
2011,Visualizing Alcohol Use,Freelance,"Creator, designer",,http://visual.ly/visualizing-alcohol-use,,
2011,Inequality in America,Freelance,"Creator, designer",,http://visual.ly/inequality-america,,
2011,Grammy History: Who Does The Music Industry Reward,Freelance,"Creator, designer",,http://visual.ly/grammy-history-who-does-music-industry-reward,,
2011,A Visual History of the TSA & Airline Terror,Freelance,"Creator, designer",,http://visual.ly/visual-history-tsa-and-airline-terror,,
2011,How Do College Students Use Their Time,Freelance,"Creator, designer",,http://visual.ly/how-do-college-students-use-their-time,,
2011,The Under-Educated States of America,Freelance,"Creator, designer",,http://visual.ly/under-educated-states-america,,
2011,Wealth Distribution in the US,Freelance,"Creator, designer",,http://visual.ly/wealth-distribution-united-states,,
2011,A History of BitTorrent,Freelance,"Creator, designer",,http://visual.ly/history-bittorrent,,
2011,The Unemployed States of America,Freelance,"Creator, designer",,http://visual.ly/unemployed-states-america,,
2011,$1 Salary CEO Club,Freelance,"Creator, designer",,http://visual.ly/who-one-dollar-salary-ceo-club,,
2011,Visualizing Life in the Cloud,Freelance,"Creator, designer",,http://visual.ly/visualizing-life-cloud,,
2011,Bank Failures in America,Freelance,"Creator, designer",,http://visual.ly/bank-failures-america,,
2011,The Wealth of World Leaders,Freelance,"Creator, designer",,http://visualeconomics.creditloan.com/the-wealth-of-world-leaders/,,
2011,Visualizing the NYC Marathon,Visual.ly,"Creator, designer",,http://visual.ly/visualizing-ing-nyc-marathon,,